label,cond,abs_disc,eqn
1872.b.479232.1,1872,479232,"[[0,2,3,-8,-15,4],[1]]"
18816.d.602112.1,18816,602112,"[[-3,-2,2,0,-1],[0,0,1,1]]"
1888.a.241664.1,1888,241664,"[[0,-1,-1,-2,-1,1],[]]"
1888.a.483328.1,1888,483328,"[[56,64,1,-16,-3,1],[0,0,0,1]]"
1888.a.483328.2,1888,483328,"[[-4,20,-31,8,8,1],[]]"
18944.c.606208.1,18944,606208,"[[-4,0,8,-1,-4,1],[]]"
1904.a.487424.1,1904,487424,"[[1,-1,-2,0,0,1],[0,1,0,1]]"
1920.a.368640.1,1920,368640,"[[5,6,17,12,17,6,5],[1,1,1,1]]"
19328.d.618496.1,19328,618496,"[[-7,20,-7,-12,0,1],[0,0,1]]"
19456.a.311296.1,19456,311296,"[[1,-4,0,0,-1],[1,1,1,1]]"
194560.a.389120.1,194560,389120,"[[-3,-7,1,8,-1,-3,1],[]]"
194560.b.389120.1,194560,389120,"[[-1,-1,3,0,-4,2],[]]"
194560.c.389120.1,194560,389120,"[[1,-1,-3,0,4,2],[]]"
194560.d.389120.1,194560,389120,"[[3,-7,-1,8,1,-3,-1],[]]"
1952.b.999424.1,1952,999424,"[[1,-2,-3,4,3,2],[]]"
196608.a.196608.1,196608,196608,"[[1,-1,1,0,1,-1,1],[]]"
196608.b.196608.1,196608,196608,"[[-1,-1,-1,0,-1,-1,-1],[]]"
196608.c.589824.1,196608,589824,"[[0,1,-4,8,-4,1],[]]"
196608.d.589824.1,196608,589824,"[[0,1,4,8,4,1],[]]"
19840.e.634880.1,19840,634880,"[[0,-1,1,0,-2,4],[1]]"
200704.a.401408.1,200704,401408,"[[-1,2,-1,-1,0,1],[]]"
200704.b.401408.1,200704,401408,"[[-1,1,4,-3,-4,2],[]]"
200704.c.401408.1,200704,401408,"[[-1,0,1,1,-2,1],[]]"
200704.d.401408.1,200704,401408,"[[-1,4,-1,-9,6,2],[]]"
20096.c.643072.1,20096,643072,"[[0,0,-1,-2,0,0,4],[1,1]]"
20096.d.643072.1,20096,643072,"[[0,0,-1,4,-5,4],[1]]"
2016.c.774144.1,2016,774144,"[[-2,-1,-1,2,1,1],[]]"
20352.e.651264.1,20352,651264,"[[-1,0,1,0,0,-2,1],[1,1]]"
20480.a.40960.1,20480,40960,"[[-1,0,4,-1,-4,2],[]]"
20480.b.40960.1,20480,40960,"[[-1,5,-6,-3,5,2],[]]"
20480.c.40960.1,20480,40960,"[[1,5,6,-3,-5,2],[]]"
20480.d.40960.1,20480,40960,"[[-1,2,2,-5,0,2],[]]"
20480.e.40960.1,20480,40960,"[[0,2,-2,-3,1,1],[]]"
20480.f.327680.1,20480,327680,"[[1,0,4,0,-9,0,4],[1]]"
20480.g.327680.1,20480,327680,"[[-4,0,-9,0,-4,0,1],[0,0,0,1]]"
20480.h.409600.1,20480,409600,"[[0,-2,2,1,-2,1],[]]"
20480.i.409600.1,20480,409600,"[[0,-2,-2,1,2,1],[]]"
204800.a.819200.1,204800,819200,"[[0,2,4,1,0,1],[]]"
204800.b.819200.1,204800,819200,"[[0,2,-4,1,0,1],[]]"
206848.a.413696.1,206848,413696,"[[0,-1,6,-6,0,1],[]]"
206848.b.413696.1,206848,413696,"[[0,-1,-6,-6,0,1],[]]"
20736.h.331776.1,20736,331776,"[[-3,2,-3,5,0,-3,1],[0,0,1]]"
20736.o.995328.1,20736,995328,"[[-3,0,0,1,1],[0,0,1,1]]"
20864.c.667648.1,20864,667648,"[[1,-9,28,-36,16,0,-1],[0,1]]"
208896.a.835584.1,208896,835584,"[[0,-2,-5,11,7,1],[]]"
208896.b.835584.1,208896,835584,"[[0,2,-13,23,-9,1],[]]"
208896.c.835584.1,208896,835584,"[[0,-2,5,11,-7,1],[]]"
208896.d.835584.1,208896,835584,"[[0,2,13,23,9,1],[]]"
