source=[ 46092, 58617, 60788, 64128 ] | ordered=[ 64128, 60788, 58617, 46092 ] | perm=[ 4, 3, 2, 1 ] | eps=[1,-1,-1] | full=false | rho=96/91 sigma=-21/13 tau=-9/8 | intermediate=324/169 | F=[187/1183,5836644/68574961,43605/28561,130815/4845568] | q=[0,0,0,0]
source=[ 46092, 58617, 60788, 64128 ] | ordered=[ 64128, 60788, 58617, 46092 ] | perm=[ 4, 3, 2, 1 ] | eps=[1,1,1] | full=false | rho=96/91 sigma=21/13 tau=9/8 | intermediate=324/169 | F=[54043/4732,865378404/68574961,3532005/114244,69201135/4845568] | q=[0,0,0,0]
source=[ 52390, 56730, 60450, 61854 ] | ordered=[ 52390, 56730, 60450, 61854 ] | perm=[ 1, 2, 3, 4 ] | eps=[-1,-1,1] | full=false | rho=-169/183 sigma=13/9 tau=-2197/1647 | intermediate=4826809/2712609 | F=[-169400/2712609,2515881368/30280854267,14886872/73240443,-817661444600/7358247586881] | q=[0,0,0,0]
source=[ 52390, 56730, 60450, 61854 ] | ordered=[ 52390, 56730, 60450, 61854 ] | perm=[ 1, 2, 3, 4 ] | eps=[-1,1,-1] | full=false | rho=-169/183 sigma=-13/9 tau=2197/1647 | intermediate=4826809/2712609 | F=[-215264/2712609,2079240800/30280854267,12303200/73240443,-1039038212576/7358247586881] | q=[0,0,0,0]
source=[ 52390, 56730, 60450, 61854 ] | ordered=[ 52390, 56730, 60450, 61854 ] | perm=[ 1, 2, 3, 4 ] | eps=[1,-1,-1] | full=false | rho=169/183 sigma=13/9 tau=2197/1647 | intermediate=4826809/2712609 | F=[29767936/2712609,287529299200/30280854267,1701356800/73240443,143684141396224/7358247586881] | q=[5456/1647,0,0,11986832/2712609]
source=[ 52390, 56730, 60450, 61854 ] | ordered=[ 52390, 56730, 60450, 61854 ] | perm=[ 1, 2, 3, 4 ] | eps=[1,1,1] | full=false | rho=169/183 sigma=-13/9 tau=-2197/1647 | intermediate=4826809/2712609 | F=[774400/2712609,11501171968/30280854267,68054272/73240443,3737880889600/7358247586881] | q=[880/1647,0,0,1933360/2712609]
source=[ 52390, 56730, 60450, 61854 ] | ordered=[ 52390, 56730, 61854, 60450 ] | perm=[ 1, 2, 4, 3 ] | eps=[-1,-1,1] | full=false | rho=-169/183 sigma=2197/1647 tau=-13/9 | intermediate=4826809/2712609 | F=[-215264/2712609,2079240800/30280854267,-1039038212576/7358247586881,12303200/73240443] | q=[0,0,0,0]
source=[ 52390, 56730, 60450, 61854 ] | ordered=[ 52390, 56730, 61854, 60450 ] | perm=[ 1, 2, 4, 3 ] | eps=[-1,1,-1] | full=false | rho=-169/183 sigma=-2197/1647 tau=13/9 | intermediate=4826809/2712609 | F=[-169400/2712609,2515881368/30280854267,-817661444600/7358247586881,14886872/73240443] | q=[0,0,0,0]
source=[ 52390, 56730, 60450, 61854 ] | ordered=[ 52390, 56730, 61854, 60450 ] | perm=[ 1, 2, 4, 3 ] | eps=[1,-1,-1] | full=false | rho=169/183 sigma=2197/1647 tau=13/9 | intermediate=4826809/2712609 | F=[29767936/2712609,287529299200/30280854267,143684141396224/7358247586881,1701356800/73240443] | q=[5456/1647,0,11986832/2712609,0]
source=[ 52390, 56730, 60450, 61854 ] | ordered=[ 52390, 56730, 61854, 60450 ] | perm=[ 1, 2, 4, 3 ] | eps=[1,1,1] | full=false | rho=169/183 sigma=-2197/1647 tau=-13/9 | intermediate=4826809/2712609 | F=[774400/2712609,11501171968/30280854267,3737880889600/7358247586881,68054272/73240443] | q=[880/1647,0,1933360/2712609,0]
source=[ 52390, 56730, 60450, 61854 ] | ordered=[ 56730, 52390, 60450, 61854 ] | perm=[ 2, 1, 3, 4 ] | eps=[-1,-1,1] | full=false | rho=-183/169 sigma=9/13 tau=-1647/2197 | intermediate=2712609/4826809 | F=[-169400/4826809,680764392/10604499373,1646568/62748517,-459515964600/23298085122481] | q=[0,0,0,0]
source=[ 52390, 56730, 60450, 61854 ] | ordered=[ 56730, 52390, 60450, 61854 ] | perm=[ 2, 1, 3, 4 ] | eps=[-1,1,-1] | full=false | rho=-183/169 sigma=-9/13 tau=1647/2197 | intermediate=2712609/4826809 | F=[-215264/4826809,562615200/10604499373,1360800/62748517,-583927063776/23298085122481] | q=[0,0,0,0]
source=[ 52390, 56730, 60450, 61854 ] | ordered=[ 56730, 52390, 60450, 61854 ] | perm=[ 2, 1, 3, 4 ] | eps=[1,-1,-1] | full=false | rho=183/169 sigma=9/13 tau=1647/2197 | intermediate=2712609/4826809 | F=[29767936/4826809,77801644800/10604499373,188179200/62748517,80748771105024/23298085122481] | q=[5456/2197,0,0,8986032/4826809]
source=[ 52390, 56730, 60450, 61854 ] | ordered=[ 56730, 52390, 60450, 61854 ] | perm=[ 2, 1, 3, 4 ] | eps=[1,1,1] | full=false | rho=183/169 sigma=-9/13 tau=-1647/2197 | intermediate=2712609/4826809 | F=[774400/4826809,3112065792/10604499373,7527168/62748517,2100644409600/23298085122481] | q=[880/2197,0,0,1449360/4826809]
