CONTACT6_M612_TB_RECOVERY_HEIGHT_SIEVE H=100000 modulus=111469 masks=23
SURVIVOR branch=1 n=2161 d=77964
SURVIVOR branch=1 n=29203 d=78131
SURVIVOR branch=1 n=93995 d=78183
SURVIVOR branch=1 n=49735 d=78514
SURVIVOR branch=1 n=55991 d=78625
SURVIVOR branch=1 n=15207 d=78761
SURVIVOR branch=1 n=73225 d=78861
SURVIVOR branch=1 n=64708 d=79237
SURVIVOR branch=1 n=6619 d=79288
SURVIVOR branch=1 n=61443 d=80261
SURVIVOR branch=1 n=85609 d=80668
SURVIVOR branch=1 n=36223 d=80801
SURVIVOR branch=1 n=76807 d=81215
SURVIVOR branch=1 n=89648 d=81481
SURVIVOR branch=1 n=54815 d=82288
SURVIVOR branch=1 n=93355 d=82328
SURVIVOR branch=1 n=59422 d=82355
SURVIVOR branch=1 n=71822 d=82385
SURVIVOR branch=1 n=77893 d=82687
SURVIVOR branch=1 n=72455 d=82954
SURVIVOR branch=1 n=79237 d=83188
SURVIVOR branch=1 n=24395 d=83462
SURVIVOR branch=1 n=64655 d=83848
SURVIVOR branch=1 n=62823 d=83938
SURVIVOR branch=1 n=61625 d=85157
SURVIVOR branch=1 n=77587 d=85856
SURVIVOR branch=1 n=47360 d=86071
SURVIVOR branch=1 n=62869 d=86125
SURVIVOR branch=1 n=80707 d=86386
SURVIVOR branch=1 n=41385 d=87167
SURVIVOR branch=1 n=87089 d=87358
SURVIVOR branch=1 n=3875 d=87811
SURVIVOR branch=1 n=71080 d=88437
SURVIVOR branch=1 n=44485 d=88451
SURVIVOR branch=1 n=58115 d=88556
SURVIVOR branch=1 n=13815 d=88598
SURVIVOR branch=1 n=6912 d=88835
SURVIVOR branch=1 n=19065 d=89284
SURVIVOR branch=1 n=60943 d=89486
SURVIVOR branch=1 n=3589 d=89782
SURVIVOR branch=1 n=21995 d=89791
SURVIVOR branch=1 n=62238 d=90259
SURVIVOR branch=1 n=81893 d=90365
SURVIVOR branch=1 n=68641 d=90402
SURVIVOR branch=1 n=71179 d=90407
SURVIVOR branch=1 n=83249 d=91321
SURVIVOR branch=1 n=20484 d=91595
SURVIVOR branch=1 n=43093 d=92278
SURVIVOR branch=1 n=50615 d=92291
SURVIVOR branch=1 n=26858 d=92293
SURVIVOR branch=1 n=61588 d=92377
SURVIVOR branch=1 n=26287 d=92552
SURVIVOR branch=1 n=3142 d=93055
SURVIVOR branch=1 n=51760 d=93181
SURVIVOR branch=1 n=20638 d=93277
SURVIVOR branch=1 n=46274 d=93359
SURVIVOR branch=1 n=2593 d=93367
SURVIVOR branch=1 n=45358 d=93447
SURVIVOR branch=1 n=13027 d=94039
SURVIVOR branch=1 n=40352 d=94197
SURVIVOR branch=1 n=43747 d=94639
SURVIVOR branch=1 n=69748 d=95013
SURVIVOR branch=1 n=20910 d=95033
SURVIVOR branch=1 n=27761 d=95034
SURVIVOR branch=1 n=26840 d=95571
SURVIVOR branch=1 n=33293 d=96145
SURVIVOR branch=1 n=80417 d=96533
SURVIVOR branch=1 n=47570 d=97359
SURVIVOR branch=1 n=55695 d=97838
SURVIVOR branch=1 n=59648 d=97959
SURVIVOR branch=1 n=17516 d=98271
SURVIVOR branch=1 n=77273 d=98761
SURVIVOR branch=1 n=95448 d=99815
BRANCH_DONE branch=1 crt=178277260 interval=159969329 primitive=96434019 survivors=294
