101	98	63	55	21	83	60	56	22	22	10016	0
101	78	35	8	9	24	58	31	13	97	758	0
101	29	54	87	8	26	68	63	95	26	9587	0
101	41	49	2	93	28	44	92	67	53	281	0
101	60	66	100	94	16	54	57	75	97	9929	0
101	74	0	45	60	56	60	87	8	18	9823	0
101	12	23	50	81	17	56	92	88	83	2501	0
101	15	6	4	37	74	72	2	18	81	1467	0
101	53	30	32	74	21	40	90	83	88	11555	0
101	99	88	82	63	8	57	10	58	32	1716	0
101	92	94	8	83	92	91	80	41	63	10001	0
101	78	12	17	39	21	18	1	19	31	9579	1
101	2	68	98	84	62	63	71	37	18	1976	0
101	72	12	66	77	20	29	91	4	41	5380	0
101	39	79	71	57	15	35	60	41	44	11136	0
101	40	66	44	96	53	82	55	63	41	10511	0
101	22	60	98	89	43	43	95	21	18	9935	0
101	77	12	61	66	10	45	69	37	72	2037	0
101	27	74	23	21	40	62	70	48	83	5270	1
101	61	76	47	56	46	81	71	44	63	424	0
101	77	88	36	59	86	44	74	80	95	10307	0
101	63	54	31	31	7	16	76	22	45	4776	0
101	90	18	69	79	49	26	18	95	4	9869	0
101	32	16	41	65	80	11	7	30	39	10484	0
101	9	32	44	19	41	14	90	53	92	1133	0
101	72	23	26	66	10	72	64	34	94	4825	0
101	82	99	86	42	26	3	77	74	14	10659	0
101	36	46	93	18	66	58	90	49	15	12368	0
101	99	10	7	43	17	63	4	4	67	8827	0
101	75	55	32	43	63	46	9	21	45	1763	0
101	90	17	9	33	42	71	31	59	28	1895	0
101	68	21	99	36	62	5	74	24	8	2261	0
101	9	66	15	68	79	24	4	25	47	1304	0
101	46	67	0	60	99	13	55	94	73	8897	1
101	23	98	81	69	23	9	43	63	6	4605	0
101	59	64	88	39	56	97	57	82	9	11121	0
101	24	39	36	0	20	28	54	91	66	11133	0
101	62	45	11	47	20	40	70	7	44	1946	0
101	11	75	17	36	85	39	84	42	68	3527	0
101	16	20	1	78	100	72	61	18	51	9354	0
101	36	10	37	58	77	61	9	64	83	311	0
101	29	73	56	33	26	63	17	50	57	10048	0
101	1	17	94	89	42	30	45	27	13	2560	0
101	44	80	100	38	25	32	100	3	80	2175	0
101	14	99	13	33	66	18	99	38	25	2303	0
101	48	64	25	96	71	51	58	2	49	9181	0
101	86	55	69	27	86	30	21	67	79	11340	0
101	81	34	9	35	83	92	99	56	48	4663	0
101	22	34	40	36	76	33	11	79	41	2763	0
101	56	27	3	98	94	14	84	49	5	12241	0
101	100	15	68	25	24	0	1	62	79	9264	0
101	32	36	54	46	32	12	41	96	80	4826	0
101	83	19	52	2	42	96	18	82	29	10246	0
101	88	22	48	13	10	51	22	92	71	10007	0
101	36	67	13	43	23	14	59	57	79	1017	0
101	59	54	65	88	51	1	69	36	98	191	0
101	94	42	19	16	49	2	94	21	91	8841	0
101	6	24	9	73	79	96	91	18	21	288	0
101	24	97	38	64	10	63	18	46	48	289	0
101	58	20	37	82	60	65	8	96	72	1216	0
101	69	77	6	46	48	8	52	63	96	9473	0
101	39	14	59	1	63	85	17	22	65	9159	0
101	82	93	69	14	27	23	0	61	10	9894	0
101	6	54	72	38	37	54	2	12	66	4758	0
101	23	39	9	6	4	74	58	65	16	1208	0
101	30	91	59	69	65	63	0	60	16	4923	0
101	9	36	87	63	68	57	95	57	37	616	0
101	79	25	14	12	89	82	1	41	74	814	0
101	13	19	16	74	35	4	97	34	64	534	0
101	25	57	80	48	69	97	13	22	24	9988	0
101	48	42	83	36	79	72	94	3	79	231	0
101	76	23	53	39	17	52	39	29	27	10753	0
101	33	15	94	20	85	100	15	24	62	2638	0
101	46	71	60	65	22	94	9	76	95	3849	0
101	5	59	86	75	62	93	91	78	57	138	0
101	75	53	76	64	91	5	35	43	59	12016	0
101	41	69	54	100	32	69	95	61	90	11464	0
101	97	3	68	47	44	80	49	3	39	2431	0
101	32	8	28	2	55	51	73	9	42	10978	0
101	51	52	15	35	18	98	87	81	79	11551	0
101	100	73	0	43	50	0	42	71	88	152	0
101	80	71	92	97	11	98	16	86	91	4163	0
101	19	66	88	6	76	2	55	56	34	23	0
101	81	14	28	23	64	22	20	31	29	3836	0
101	16	23	88	86	79	25	59	79	69	3411	0
101	42	22	70	100	35	45	94	48	13	5678	0
101	63	44	6	26	37	14	19	21	92	4948	0
101	34	59	15	52	67	38	12	26	92	2478	0
101	80	44	79	98	84	85	45	69	65	2612	0
101	59	11	25	76	61	34	96	61	81	4030	1
101	90	50	63	62	46	96	81	1	67	5667	0
101	71	89	23	53	8	24	75	10	6	1067	0
101	6	78	1	75	39	43	19	68	2	2023	0
101	64	47	53	98	62	0	26	90	97	5021	0
101	69	17	49	71	71	61	53	79	62	5534	0
