WSPLIT+3TORS [2,24] search RH=26 TH=26 BH=26 Part=1/3
PROGRESS tested=37200000 p=486794 rank2=436605 pre3=666 tors=666 hits24=0 hits224=0
PROGRESS tested=37400000 p=489030 rank2=438742 pre3=668 tors=668 hits24=0 hits224=0
PROGRESS tested=37600000 p=489832 rank2=439349 pre3=668 tors=668 hits24=0 hits224=0
PROGRESS tested=37800000 p=491784 rank2=440831 pre3=672 tors=672 hits24=0 hits224=0
PROGRESS tested=38000000 p=492934 rank2=441760 pre3=672 tors=672 hits24=0 hits224=0
PROGRESS tested=38200000 p=495354 rank2=444094 pre3=672 tors=672 hits24=0 hits224=0
PROGRESS tested=38400000 p=496728 rank2=445118 pre3=678 tors=678 hits24=0 hits224=0
PROGRESS tested=38600000 p=498368 rank2=446350 pre3=680 tors=680 hits24=0 hits224=0
PROGRESS tested=38800000 p=500900 rank2=448770 pre3=682 tors=682 hits24=0 hits224=0
PROGRESS tested=39000000 p=501740 rank2=449455 pre3=686 tors=686 hits24=0 hits224=0
PROGRESS tested=39200000 p=503944 rank2=451205 pre3=690 tors=690 hits24=0 hits224=0
PROGRESS tested=39400000 p=505546 rank2=452534 pre3=694 tors=694 hits24=0 hits224=0
PROGRESS tested=39600000 p=508304 rank2=455208 pre3=704 tors=704 hits24=0 hits224=0
PROGRESS tested=39800000 p=509926 rank2=456532 pre3=704 tors=704 hits24=0 hits224=0
PROGRESS tested=40000000 p=512016 rank2=458183 pre3=708 tors=708 hits24=0 hits224=0
PROGRESS tested=40200000 p=515938 rank2=461963 pre3=710 tors=710 hits24=0 hits224=0
PROGRESS tested=40400000 p=518036 rank2=463941 pre3=722 tors=722 hits24=0 hits224=0
PROGRESS tested=40600000 p=521142 rank2=466625 pre3=730 tors=730 hits24=0 hits224=0
PROGRESS tested=40800000 p=523738 rank2=468898 pre3=740 tors=740 hits24=0 hits224=0
PROGRESS tested=41000000 p=527000 rank2=472069 pre3=748 tors=748 hits24=0 hits224=0
PROGRESS tested=41200000 p=529164 rank2=473990 pre3=752 tors=752 hits24=0 hits224=0
PROGRESS tested=41400000 p=532110 rank2=476471 pre3=768 tors=768 hits24=0 hits224=0
PROGRESS tested=41600000 p=533846 rank2=478031 pre3=776 tors=776 hits24=0 hits224=0
PROGRESS tested=41800000 p=536604 rank2=480690 pre3=784 tors=784 hits24=0 hits224=0
PROGRESS tested=42000000 p=538560 rank2=482260 pre3=790 tors=790 hits24=0 hits224=0
PROGRESS tested=42200000 p=540530 rank2=483862 pre3=798 tors=798 hits24=0 hits224=0
PROGRESS tested=42400000 p=543596 rank2=486825 pre3=800 tors=800 hits24=0 hits224=0
PROGRESS tested=42600000 p=545040 rank2=488081 pre3=804 tors=804 hits24=0 hits224=0
PROGRESS tested=42800000 p=547192 rank2=489764 pre3=804 tors=804 hits24=0 hits224=0
PROGRESS tested=43000000 p=548776 rank2=491122 pre3=812 tors=812 hits24=0 hits224=0
PROGRESS tested=43200000 p=551392 rank2=493649 pre3=816 tors=816 hits24=0 hits224=0
PROGRESS tested=43400000 p=552904 rank2=494822 pre3=820 tors=820 hits24=0 hits224=0
PROGRESS tested=43600000 p=554782 rank2=496282 pre3=824 tors=824 hits24=0 hits224=0
PROGRESS tested=43800000 p=558282 rank2=499674 pre3=826 tors=826 hits24=0 hits224=0
PROGRESS tested=44000000 p=560154 rank2=501391 pre3=832 tors=832 hits24=0 hits224=0
PROGRESS tested=44200000 p=563360 rank2=504140 pre3=836 tors=836 hits24=0 hits224=0
PROGRESS tested=44400000 p=565474 rank2=505972 pre3=844 tors=844 hits24=0 hits224=0
PROGRESS tested=44600000 p=567576 rank2=507992 pre3=844 tors=844 hits24=0 hits224=0
PROGRESS tested=44800000 p=568462 rank2=508586 pre3=846 tors=846 hits24=0 hits224=0
PROGRESS tested=45000000 p=570298 rank2=509979 pre3=852 tors=852 hits24=0 hits224=0
PROGRESS tested=45200000 p=574266 rank2=513800 pre3=858 tors=858 hits24=0 hits224=0
PROGRESS tested=45400000 p=576636 rank2=516050 pre3=860 tors=860 hits24=0 hits224=0
PROGRESS tested=45600000 p=581004 rank2=519998 pre3=864 tors=864 hits24=0 hits224=0
PROGRESS tested=45800000 p=584418 rank2=523082 pre3=874 tors=874 hits24=0 hits224=0
PROGRESS tested=46000000 p=587558 rank2=526130 pre3=880 tors=880 hits24=0 hits224=0
PROGRESS tested=46200000 p=589416 rank2=527752 pre3=880 tors=880 hits24=0 hits224=0
PROGRESS tested=46400000 p=592034 rank2=529903 pre3=882 tors=882 hits24=0 hits224=0
PROGRESS tested=46600000 p=594106 rank2=531794 pre3=886 tors=886 hits24=0 hits224=0
PROGRESS tested=46800000 p=597652 rank2=535240 pre3=894 tors=894 hits24=0 hits224=0
PROGRESS tested=47000000 p=600628 rank2=537836 pre3=896 tors=896 hits24=0 hits224=0
PROGRESS tested=47200000 p=603442 rank2=540281 pre3=900 tors=900 hits24=0 hits224=0
PROGRESS tested=47400000 p=606640 rank2=543370 pre3=906 tors=906 hits24=0 hits224=0
PROGRESS tested=47600000 p=608296 rank2=544842 pre3=906 tors=906 hits24=0 hits224=0
PROGRESS tested=47800000 p=610948 rank2=547021 pre3=910 tors=910 hits24=0 hits224=0
PROGRESS tested=48000000 p=612734 rank2=548574 pre3=910 tors=910 hits24=0 hits224=0
PROGRESS tested=48200000 p=615818 rank2=551570 pre3=912 tors=912 hits24=0 hits224=0
PROGRESS tested=48400000 p=617792 rank2=553210 pre3=912 tors=912 hits24=0 hits224=0
PROGRESS tested=48600000 p=620180 rank2=555173 pre3=918 tors=918 hits24=0 hits224=0
PROGRESS tested=48800000 p=623192 rank2=558076 pre3=922 tors=922 hits24=0 hits224=0
PROGRESS tested=49000000 p=624394 rank2=559133 pre3=922 tors=922 hits24=0 hits224=0
PROGRESS tested=49200000 p=626638 rank2=560932 pre3=932 tors=932 hits24=0 hits224=0
PROGRESS tested=49400000 p=628042 rank2=562048 pre3=934 tors=934 hits24=0 hits224=0
PROGRESS tested=49600000 p=630430 rank2=564354 pre3=936 tors=936 hits24=0 hits224=0
PROGRESS tested=49800000 p=631568 rank2=565208 pre3=936 tors=936 hits24=0 hits224=0
PROGRESS tested=50000000 p=633280 rank2=566471 pre3=938 tors=938 hits24=0 hits224=0
PROGRESS tested=50200000 p=634650 rank2=567692 pre3=940 tors=940 hits24=0 hits224=0
PROGRESS tested=50400000 p=637564 rank2=570491 pre3=944 tors=944 hits24=0 hits224=0
PROGRESS tested=50600000 p=639332 rank2=571846 pre3=946 tors=946 hits24=0 hits224=0
PROGRESS tested=50800000 p=641858 rank2=574035 pre3=952 tors=952 hits24=0 hits224=0
PROGRESS tested=51000000 p=647478 rank2=579556 pre3=964 tors=964 hits24=0 hits224=0
PROGRESS tested=51200000 p=651770 rank2=583622 pre3=970 tors=970 hits24=0 hits224=0
PROGRESS tested=51400000 p=657388 rank2=587078 pre3=972 tors=972 hits24=0 hits224=0
PROGRESS tested=51600000 p=660220 rank2=589722 pre3=978 tors=978 hits24=0 hits224=0
PROGRESS tested=51800000 p=663958 rank2=593362 pre3=986 tors=986 hits24=0 hits224=0
PROGRESS tested=52000000 p=666916 rank2=595942 pre3=990 tors=990 hits24=0 hits224=0
PROGRESS tested=52200000 p=669530 rank2=598185 pre3=1002 tors=1002 hits24=0 hits224=0
PROGRESS tested=52400000 p=672166 rank2=600708 pre3=1008 tors=1008 hits24=0 hits224=0
PROGRESS tested=52600000 p=673266 rank2=601632 pre3=1016 tors=1016 hits24=0 hits224=0
PROGRESS tested=52800000 p=675256 rank2=603159 pre3=1022 tors=1022 hits24=0 hits224=0
PROGRESS tested=53000000 p=677626 rank2=605288 pre3=1026 tors=1026 hits24=0 hits224=0
PROGRESS tested=53200000 p=682342 rank2=609918 pre3=1034 tors=1034 hits24=0 hits224=0
PROGRESS tested=53400000 p=686676 rank2=613925 pre3=1040 tors=1040 hits24=0 hits224=0
PROGRESS tested=53600000 p=691242 rank2=618065 pre3=1048 tors=1048 hits24=0 hits224=0
PROGRESS tested=53800000 p=693076 rank2=619782 pre3=1056 tors=1056 hits24=0 hits224=0
PROGRESS tested=54000000 p=696400 rank2=622958 pre3=1064 tors=1064 hits24=0 hits224=0
PROGRESS tested=54200000 p=698904 rank2=625022 pre3=1068 tors=1068 hits24=0 hits224=0
PROGRESS tested=54400000 p=700734 rank2=626556 pre3=1068 tors=1068 hits24=0 hits224=0
PROGRESS tested=54600000 p=703662 rank2=629398 pre3=1072 tors=1072 hits24=0 hits224=0
PROGRESS tested=54800000 p=705628 rank2=631087 pre3=1076 tors=1076 hits24=0 hits224=0
PROGRESS tested=55000000 p=707710 rank2=632721 pre3=1082 tors=1082 hits24=0 hits224=0
PROGRESS tested=55200000 p=709934 rank2=634788 pre3=1082 tors=1082 hits24=0 hits224=0
PROGRESS tested=55400000 p=713774 rank2=638511 pre3=1086 tors=1086 hits24=0 hits224=0
PROGRESS tested=55600000 p=717346 rank2=641672 pre3=1092 tors=1092 hits24=0 hits224=0
PROGRESS tested=55800000 p=720034 rank2=644014 pre3=1098 tors=1098 hits24=0 hits224=0
PROGRESS tested=56000000 p=722606 rank2=646494 pre3=1100 tors=1100 hits24=0 hits224=0
PROGRESS tested=56200000 p=723652 rank2=647321 pre3=1100 tors=1100 hits24=0 hits224=0
PROGRESS tested=56400000 p=725240 rank2=648439 pre3=1104 tors=1104 hits24=0 hits224=0
PROGRESS tested=56600000 p=727280 rank2=650284 pre3=1108 tors=1108 hits24=0 hits224=0
PROGRESS tested=56800000 p=731146 rank2=654051 pre3=1112 tors=1112 hits24=0 hits224=0
PROGRESS tested=57000000 p=734750 rank2=657284 pre3=1114 tors=1114 hits24=0 hits224=0
PROGRESS tested=57200000 p=738060 rank2=660214 pre3=1120 tors=1120 hits24=0 hits224=0
