67 -60 118 -88
67 4 91 139
67 9 74 2
67 16 137 24
67 23 120 -27
67 40 86 -95
67 69 144 40
67 89 91 -49
67 121 82 26
67 125 130 5
64 -128 120 127
64 -124 138 149
64 -102 65 -48
64 -72 111 39
64 -72 116 -149
64 -59 103 59
64 -54 108 -136
64 -44 93 -81
64 -43 76 -25
64 -33 95 44
64 -18 102 59
64 46 133 9
64 76 88 -1
72 -146 74 -138
72 -142 150 33
72 -114 115 12
72 -76 109 -5
72 -75 79 4
72 24 81 -74
72 99 139 131
62 -123 136 20
62 -73 65 -59
62 -22 141 38
62 25 77 107
62 98 100 -132
62 133 105 -37
66 -124 135 -118
66 -123 133 -91
66 -114 145 -60
66 -110 69 59
66 -79 117 -74
66 -74 82 -11
66 -63 128 -126
66 -43 138 -116
66 -2 117 115
66 26 107 89
66 76 118 94
66 79 135 143
66 81 68 66
66 93 112 -17
66 131 117 39
66 132 76 17
66 149 150 26
73 -33 106 58
73 -1 103 136
73 60 149 -76
73 124 91 76
73 124 116 -68
73 144 104 56
69 -66 107 -102
69 -66 128 -109
69 -25 134 -78
69 -4 97 89
69 6 148 -131
69 59 73 -127
69 135 126 98
69 137 77 9
71 -149 110 27
71 -81 123 13
71 -77 139 20
71 -77 146 96
71 -76 100 -66
71 -45 140 58
71 -9 73 119
71 -8 123 -106
71 -1 102 62
71 72 100 87
71 76 78 -91
71 141 75 67
75 -127 113 -112
75 -122 118 43
75 -88 99 -63
75 -57 112 13
75 27 136 112
75 32 136 -19
75 48 127 113
75 86 108 -58
75 102 104 -43
75 108 148 88
70 -141 71 -77
70 -120 104 -45
70 -106 104 -74
70 -87 78 133
70 -43 74 -77
70 -43 134 -113
70 -37 127 -142
70 -8 144 57
70 17 106 -54
77 -142 145 -87
77 -116 89 -139
77 -106 119 -93
77 -103 134 109
77 -47 111 -115
77 139 86 136
77 146 88 -77
74 -123 144 -8
74 -99 133 -106
74 5 102 41
74 7 90 47
74 20 120 125
74 40 86 -33
74 41 127 19
74 66 98 44
74 72 75 -38
74 80 88 -12
74 91 130 -38
76 -117 94 44
76 -14 135 -31
76 30 113 -103
76 41 80 -78
76 70 112 84
82 -123 87 -8
82 -3 86 1
82 -3 124 115
82 92 147 -73
82 139 146 -19
82 148 85 38
78 -109 92 47
78 -91 104 81
78 -35 93 -134
78 -34 89 99
78 -18 116 -148
78 47 88 10
78 93 110 -2
79 -144 127 -126
79 -108 95 52
79 -59 150 -28
79 -40 130 -107
79 46 95 -148
79 46 108 39
79 76 132 -6
79 131 115 -61
79 132 85 37
81 -142 86 -102
81 -119 117 134
81 -114 130 -36
81 -109 81 16
81 -93 116 82
81 -33 135 -108
81 -2 116 69
81 2 83 114
81 39 121 98
81 60 109 -92
81 65 134 -34
81 118 141 143
81 131 142 -123
81 136 108 -76
81 137 103 -66
80 -136 124 -93
80 -132 108 143
80 -106 97 10
80 -48 106 -128
80 -43 84 41
80 -43 146 6
80 74 89 116
80 75 131 51
80 87 124 -3
80 94 137 -145
80 127 101 67
80 129 142 57
59 -135 93 4
59 -134 150 -58
59 -71 146 -32
59 -29 62 -106
59 -23 66 59
59 -16 80 -134
59 -13 150 -3
59 11 78 -76
59 40 75 65
59 41 82 -11
59 67 137 24
59 72 82 74
59 75 131 79
59 89 117 -132
59 117 117 -61
59 129 124 -18
59 136 90 7
83 -107 150 93
83 -98 91 101
83 -6 116 -28
83 13 141 80
83 39 84 -96
83 89 121 -3
83 117 131 9
84 -133 87 -116
84 -78 117 79
84 -8 142 19
84 16 90 137
84 27 110 137
84 96 88 94
84 144 139 -149
86 -118 98 -51
86 -24 103 -26
86 19 129 110
86 41 146 -35
86 93 111 -142
86 121 137 -101
