Z35 candidate u values: 6
Z45 candidate u values: 4
JOBS 154
Z2xZ24 t=2/3 u=1 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 30030 [ 2, 6 ] | F 46410 [ 2, 8 ] | MODEL 2355466105244805696*X^6 - 4532588010644087471*X^4 + 2103083875998796900*X^2 + 74561838024960000
Z2xZ24 t=2/3 u=1 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 30030 [ 2, 6 ] | F 46410 [ 2, 8 ] | MODEL 1264894554*X^6 - 2517607796*X^4 + 1293054400*X^2 - 40040000
Z2xZ24 t=2/3 u=1 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 30030 [ 2, 6 ] | F 46410 [ 2, 8 ] | MODEL -47223695046170211940800*X^6 + 1462102992756034048006081*X^4 + 1501729057960114036401700*X^2 + 1494857214515808000000
Z2xZ24 t=2/3 u=1 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 30030 [ 2, 6 ] | F 46410 [ 2, 8 ] | MODEL 751535929231637550*X^6 + 24741748954653129916*X^4 + 23181683367713411200*X^2 + 23789728963000000
Z2xZ24 t=2/3 u=1 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 30030 [ 2, 6 ] | F 46410 [ 2, 8 ] | MODEL 2246540051701757150539200*X^6 + 74027055623953425840899569*X^4 + 69144159772477320013123300*X^2 - 71113804218448992000000
Z5xZ10 t=3 u=157/145 | TOR [ 5, 10 ] | ORD 50 | 2RK [ 2 ] | E 870 [ 10 ] | F 7189970161530 [ 10 ] | MODEL -480347108884854541173806613572064*X^6 + 2357906936705370668537374244773489553025*X^4 + 1259095920238281026135384681757735341868750*X^2 + 154991601067714313196044533537400851446140625
Z5xZ10 t=3 u=157/145 | TOR [ 5, 10 ] | ORD 50 | 2RK [ 2 ] | E 870 [ 10 ] | F 7189970161530 [ 10 ] | MODEL -17042052306554416167345793353609599912460288*X^6 + 191770141918188522360306108802496352698398484574625*X^4 - 8343902385401214968954202719936144594161048840544375*X^2 - 5498888040785053646022193357194845282658203837784000000
Z5xZ10 t=4 u=101/77 | TOR [ 5, 10 ] | ORD 50 | 2RK [ 2 ] | E 11550 [ 10 ] | F 233529078090 [ 10 ] | MODEL -544209938631145455670429687500000*X^6 + 3460483895649937391379509747158730625*X^4 + 202353499387486855997986092924463908750*X^2 + 1590295406915350063444283506634464757265
Z5xZ10 t=4 u=101/77 | TOR [ 5, 10 ] | ORD 50 | 2RK [ 2 ] | E 11550 [ 10 ] | F 233529078090 [ 10 ] | MODEL -10667950723084265957063750336714880000000000000*X^6 + 84560587877240832133833295030647783074449974975625*X^4 + 2540371451350326269211666793777144074325050337500625*X^2 - 31173986051766801880583024027650949232693918697635840
Z35 u=13/2 | TOR [ 35 ] | ORD 35 | 2RK [] | E 26 [ 7 ] | F 286 [ 5 ] | MODEL 9295*X^6 + 2480*X^4 + 5040*X^2 + 640
Z3xZ12 t=2 m=2 u=-259/251 | TOR [ 3, 12 ] | ORD 36 | 2RK [ 2 ] | E 2730 [ 12 ] | F 8451170 [ 6 ] | MODEL 19863039505810855424*x^6 + 1325392759313330346855316*x^4 + 369893377235435246631119761*x^2 + 3767167011449295721324350720
Z3xZ12 t=2 m=2 u=-259/251 | TOR [ 3, 12 ] | ORD 36 | 2RK [ 2 ] | E 2730 [ 12 ] | F 8451170 [ 6 ] | MODEL -8307844381021696*x^6 + 549689661201251709076*x^4 + 155222713995316098125041*x^2 + 1575641899080123125402880
Z3xZ12 t=-1 m=2 u=-259/251 | TOR [ 3, 12 ] | ORD 36 | 2RK [ 2 ] | E 2730 [ 12 ] | F 8451170 [ 6 ] | MODEL 81359009815801263816704*x^6 + 84825136596053142198740224*x^4 + 369893377235435246631119761*x^2 + 58861984553895245645692980
