prime	torsion_coset	m	n	k	ord_g1	ord_g2	ord_g3	state	t
17	1	10	4	0	12	6	6	3	inf
17	1	10	4	1	12	6	6	3	1
17	1	10	4	2	12	6	6	3	inf
17	1	10	4	3	12	6	6	3	inf
17	1	10	4	4	12	6	6	3	inf
17	1	10	4	5	12	6	6	3	inf
17	1	10	5	0	12	6	6	3	1
17	1	10	5	1	12	6	6	3	inf
17	1	10	5	2	12	6	6	3	inf
17	1	10	5	3	12	6	6	3	inf
17	1	10	5	4	12	6	6	3	inf
17	1	10	5	5	12	6	6	3	inf
17	1	11	0	0	12	6	6	3	inf
17	1	11	0	1	12	6	6	3	inf
17	1	11	0	2	12	6	6	3	inf
17	1	11	0	3	12	6	6	3	inf
17	1	11	0	4	12	6	6	3	inf
17	1	11	0	5	12	6	6	3	inf
17	1	11	1	0	12	6	6	3	inf
17	1	11	1	1	12	6	6	3	inf
17	1	11	1	2	12	6	6	3	inf
17	1	11	1	3	12	6	6	3	inf
17	1	11	1	4	12	6	6	3	inf
17	1	11	1	5	12	6	6	3	inf
17	1	11	2	0	12	6	6	3	inf
17	1	11	2	1	12	6	6	3	inf
17	1	11	2	2	12	6	6	3	inf
17	1	11	2	3	12	6	6	3	inf
17	1	11	2	4	12	6	6	3	inf
17	1	11	2	5	12	6	6	3	inf
17	1	11	3	0	12	6	6	3	inf
17	1	11	3	1	12	6	6	3	inf
17	1	11	3	2	12	6	6	3	inf
17	1	11	3	3	12	6	6	3	inf
17	1	11	3	4	12	6	6	3	inf
17	1	11	3	5	12	6	6	3	inf
17	1	11	4	0	12	6	6	3	inf
17	1	11	4	1	12	6	6	3	inf
17	1	11	4	2	12	6	6	3	inf
17	1	11	4	3	12	6	6	3	inf
17	1	11	4	4	12	6	6	3	inf
17	1	11	4	5	12	6	6	3	inf
17	1	11	5	0	12	6	6	3	inf
17	1	11	5	1	12	6	6	3	inf
17	1	11	5	2	12	6	6	3	inf
17	1	11	5	3	12	6	6	3	inf
17	1	11	5	4	12	6	6	3	inf
17	1	11	5	5	12	6	6	3	inf
17	2	0	0	0	12	6	6	3	inf
17	2	0	0	1	12	6	6	3	inf
17	2	0	0	2	12	6	6	3	inf
17	2	0	0	3	12	6	6	3	1
17	2	0	0	4	12	6	6	3	inf
17	2	0	0	5	12	6	6	3	inf
17	2	0	1	0	12	6	6	3	inf
17	2	0	1	1	12	6	6	3	inf
17	2	0	1	2	12	6	6	3	1
17	2	0	1	3	12	6	6	3	inf
17	2	0	1	4	12	6	6	3	inf
17	2	0	1	5	12	6	6	3	inf
17	2	0	2	0	12	6	6	3	inf
17	2	0	2	1	12	6	6	3	1
17	2	0	2	2	12	6	6	3	inf
17	2	0	2	3	12	6	6	3	inf
17	2	0	2	4	12	6	6	3	inf
17	2	0	2	5	12	6	6	3	inf
17	2	0	3	0	12	6	6	3	1
17	2	0	3	1	12	6	6	3	inf
17	2	0	3	2	12	6	6	3	inf
17	2	0	3	3	12	6	6	3	inf
17	2	0	3	4	12	6	6	3	inf
17	2	0	3	5	12	6	6	3	inf
17	2	0	4	0	12	6	6	3	inf
17	2	0	4	1	12	6	6	3	inf
17	2	0	4	2	12	6	6	3	inf
17	2	0	4	3	12	6	6	3	inf
17	2	0	4	4	12	6	6	3	inf
17	2	0	4	5	12	6	6	3	1
17	2	0	5	0	12	6	6	3	inf
17	2	0	5	1	12	6	6	3	inf
17	2	0	5	2	12	6	6	3	inf
17	2	0	5	3	12	6	6	3	inf
17	2	0	5	4	12	6	6	3	1
17	2	0	5	5	12	6	6	3	inf
17	2	1	0	0	12	6	6	3	inf
17	2	1	0	1	12	6	6	3	inf
17	2	1	0	2	12	6	6	3	inf
17	2	1	0	3	12	6	6	3	inf
17	2	1	0	4	12	6	6	3	inf
17	2	1	0	5	12	6	6	3	inf
17	2	1	1	0	12	6	6	3	inf
17	2	1	1	1	12	6	6	3	inf
17	2	1	1	2	12	6	6	3	inf
17	2	1	1	3	12	6	6	3	inf
17	2	1	1	4	12	6	6	3	inf
17	2	1	1	5	12	6	6	3	inf
17	2	1	2	0	12	6	6	3	inf
17	2	1	2	1	12	6	6	3	inf
17	2	1	2	2	12	6	6	3	inf
17	2	1	2	3	12	6	6	3	inf
17	2	1	2	4	12	6	6	3	inf
17	2	1	2	5	12	6	6	3	inf
17	2	1	3	0	12	6	6	3	inf
17	2	1	3	1	12	6	6	3	inf
17	2	1	3	2	12	6	6	3	inf
17	2	1	3	3	12	6	6	3	inf
17	2	1	3	4	12	6	6	3	inf
17	2	1	3	5	12	6	6	3	inf
17	2	1	4	0	12	6	6	3	inf
17	2	1	4	1	12	6	6	3	inf
17	2	1	4	2	12	6	6	3	inf
17	2	1	4	3	12	6	6	3	inf
17	2	1	4	4	12	6	6	3	inf
17	2	1	4	5	12	6	6	3	inf
17	2	1	5	0	12	6	6	3	inf
17	2	1	5	1	12	6	6	3	inf
17	2	1	5	2	12	6	6	3	inf
17	2	1	5	3	12	6	6	3	inf
17	2	1	5	4	12	6	6	3	inf
17	2	1	5	5	12	6	6	3	inf
17	2	2	0	0	12	6	6	3	inf
17	2	2	0	1	12	6	6	3	inf
17	2	2	0	2	12	6	6	3	inf
17	2	2	0	3	12	6	6	3	inf
17	2	2	0	4	12	6	6	3	1
17	2	2	0	5	12	6	6	3	inf
17	2	2	1	0	12	6	6	3	inf
17	2	2	1	1	12	6	6	3	inf
17	2	2	1	2	12	6	6	3	inf
17	2	2	1	3	12	6	6	3	1
17	2	2	1	4	12	6	6	3	inf
