u_num	u_den	t_num	t_den	w_num	w_den
-35206	54253	-188147	143018	61378	113479
-56651	255587	244253	202335	32348	214785
-154454	120357	163258	29691	-137553	121360
239364	176773	231977	129944	129205	70561
-11257	202639	158716	1591	-220544	202171
203633	28466	-137397	144263	-224993	24600
-162664	153513	5779	15867	184687	165877
119266	10249	-177302	7585	-66457	199391
-53217	117683	-122573	132941	-253999	72283
16798	111413	-255431	121688	67852	52133
-20459	222788	170852	232429	155170	187609
182383	260924	233409	60968	-192373	157394
182383	260924	-236192	163351	-201939	56000
182383	260924	-47795	77534	211505	45394
188725	7052	184041	96685	-135374	8473
250166	232371	120274	148297	10315	68117
-207063	12341	-224939	72594	-88292	43625
230969	56703	-203138	241617	21006	206275
229345	238243	-203138	241617	-79852	216111
-214724	246195	-189063	65231	-212783	224369
29305	181202	189787	105372	-187547	241203
-8561	168138	-173056	80539	-22683	31898
175130	241869	-173056	80539	-22683	31898
-178292	26085	234357	34030	154469	122378
-156918	208321	179647	157321	-144841	125689
2987	32389	107533	215903	61129	60680
-227605	175828	220714	7955	-110520	185443
-8273	234092	124835	192178	22213	129027
171999	188845	217077	234151	-61261	217697
233479	14439	-54925	251486	-14140	65231
236331	160802	-134621	33512	99793	860
10643	228860	219959	133644	-61988	207091
-97039	218908	-123483	254732	-32743	54612
118375	142127	-41347	109039	-246632	5289
-257421	130943	250873	73433	-72003	139277
-260109	118759	-227643	656	141698	55685
-218341	94987	-126689	89093	29890	72507
-72401	230515	-116441	183393	92491	23865
-121510	157337	-257141	145837	91951	257668
-164778	144263	-103259	97739	29252	240301
-221125	12136	-103259	97739	-200608	9601
-221125	12136	-103259	97739	-236483	184537
19604	136783	-68617	21756	-182933	81262
96996	153661	-46137	193199	-140183	71612
96996	153661	-46137	193199	13878	229265
-235190	4773	-180661	235955	-170083	243186
49942	223815	17576	11521	147739	247584
-181057	247750	-56725	1591	-34273	234438
121375	102684	-338	260309	30271	90539
-206509	213120	137022	198395	104474	111499
-114596	54151	-25887	56416	91303	196433
-100042	230623	-25887	56416	91303	196433
29305	181202	-182351	160432	120925	117506
102452	233147	116563	119325	-227402	175265
23193	66908	-182351	160432	222866	30955
143751	188779	-201284	207747	-50101	224331
-55037	126075	-160223	188501	-42564	65231
-156733	209533	-34645	89244	15633	148823
90277	11092	-169653	74333	82357	50095
-41789	218466	-71236	155841	-25608	130591
237986	244971	224939	159966	-152195	213897
-135517	26766	17666	108595	-135017	93439
206766	225917	-157331	98576	-27562	195693
-65698	106683	-35762	46731	-79627	71936
147979	197929	94380	16769	-115453	176083
197793	13571	102245	179648	162329	15910
81258	109927	40898	20951	127163	236242
-211671	24745	-85547	257398	104970	223369
1548	247271	167585	53539	206883	99115
214876	125725	170852	232429	-42915	68413
12195	245057	140270	236537	-2663	37148
188525	22274	9465	66749	54773	205861
40741	63923	-189063	65231	-185557	124694
14129	210863	-63621	245998	-15325	8428
35942	145017	-158702	152107	-69886	251507
-189661	213194	-126919	79525	90131	96924
-217157	44444	-229990	170237	-152387	204604
-63491	214547	-182713	89096	-191715	249608
145965	228158	-219869	213534	115301	81918
-36387	229067	-100274	130591	-239707	69790
1548	247271	-103430	128957	-215015	30864
-138617	140188	8979	40034	122321	73358
-242859	201638	220714	7955	-118733	254275
-14906	132635	-254345	34337	31126	170977
111157	69273	-125183	176039	123122	175121
-244267	54997	62989	149406	-250735	246533
166273	241716	-159325	191868	-90095	74046
-19372	252821	49855	215868	252193	137801
1548	247271	-129947	70391	28816	9189
-205297	93521	-87171	16426	-33317	251304
-151699	111370	-184125	141122	99767	205901
-35746	259161	189111	81208	-68671	118622
107556	178975	-58147	233877	135391	25748
143434	184837	33177	171011	-198817	219299
-215731	103524	-195863	197542	247262	37407
-189661	213194	123201	11735	90131	96924
196342	82861	-61516	104865	-121039	129685
205629	105739	67404	100663	-194204	223739
71688	245831	5501	3034	-131111	57312
-36387	229067	252191	155574	-239707	69790
79193	104490	168457	21719	-223067	21976
-181664	118121	236765	62456	258801	54490
177889	81028	-38025	251899	256211	65231
-247805	87591	96161	108814	-237353	205794
232406	226825	-220207	189042	-20023	145632
-201853	207583	85345	208067	166885	83893
-18847	168387	-72670	214051	-104914	214001
-35746	259161	-155395	17464	-24685	70456
-189661	213194	94471	109774	-189073	61583
-237722	10865	233896	77885	-5317	205583
-134473	74476	127272	222419	188493	112258
-81577	119325	145399	197620	10229	156168
-39208	53701	236262	160691	-80951	82205
-35746	259161	-182351	160432	19301	22290
-35746	259161	-182351	160432	-261224	242623
132646	24433	236262	160691	-80951	82205
8409	216935	-75799	222999	121181	15923
218573	9799	236262	160691	-36513	236735
218573	9799	236262	160691	-132536	84675
-258883	89293	236262	160691	-177239	246000
1548	247271	84936	155101	206883	99115
254389	123902	-146622	36889	38398	211775
-18671	132978	48817	135702	8083	130462
12195	245057	-18083	41926	-2663	37148
105299	201541	17399	122063	64756	11111
-35746	259161	191646	171823	-68671	118622
70915	82	131017	76920	-237029	76110
-160824	238435	14164	35631	-140510	173389
250183	131408	-22385	112108	-27475	247476
214426	12457	69817	107707	-13683	121432
231159	110815	-21175	258052	99403	245057
-193252	168715	126808	260529	-184559	14319
-193252	168715	33275	240429	-184559	14319
96659	144448	-244541	185463	203429	71463
77111	237059	105759	27239	-88422	56293
93443	213569	-177288	200723	230363	15910
-239627	24272	-248599	186521	251521	101136
-38293	105329	-174717	250186	32348	214785
-210755	205239	-97513	44087	228907	98482
67658	103637	44424	192167	77101	16816
-233769	214307	18421	70864	28400	50801
