u	t	w	source
19826	113452	47706	target_22224_direct_contact_deep13_padic_tangent_p11
19826	128093	135552	target_22224_direct_contact_deep13_padic_tangent_p11
19826	142734	62347	target_22224_direct_contact_deep13_padic_tangent_p11
19826	157375	150193	target_22224_direct_contact_deep13_padic_tangent_p11
20442	5179	109878	target_22224_direct_contact_deep13_padic_tangent_p11
20442	19820	36673	target_22224_direct_contact_deep13_padic_tangent_p11
20442	34461	124519	target_22224_direct_contact_deep13_padic_tangent_p11
20442	49102	51314	target_22224_direct_contact_deep13_padic_tangent_p11
20442	63743	139160	target_22224_direct_contact_deep13_padic_tangent_p11
20442	78384	65955	target_22224_direct_contact_deep13_padic_tangent_p11
20442	93025	153801	target_22224_direct_contact_deep13_padic_tangent_p11
20442	107666	80596	target_22224_direct_contact_deep13_padic_tangent_p11
20442	122307	7391	target_22224_direct_contact_deep13_padic_tangent_p11
20442	136948	95237	target_22224_direct_contact_deep13_padic_tangent_p11
20442	151589	22032	target_22224_direct_contact_deep13_padic_tangent_p11
22543	8424	71257	target_22224_direct_contact_deep13_padic_tangent_p11
22543	23065	159103	target_22224_direct_contact_deep13_padic_tangent_p11
22543	37706	85898	target_22224_direct_contact_deep13_padic_tangent_p11
22543	52347	12693	target_22224_direct_contact_deep13_padic_tangent_p11
22543	66988	100539	target_22224_direct_contact_deep13_padic_tangent_p11
22543	81629	27334	target_22224_direct_contact_deep13_padic_tangent_p11
22543	96270	115180	target_22224_direct_contact_deep13_padic_tangent_p11
22543	110911	41975	target_22224_direct_contact_deep13_padic_tangent_p11
22543	125552	129821	target_22224_direct_contact_deep13_padic_tangent_p11
22543	140193	56616	target_22224_direct_contact_deep13_padic_tangent_p11
22543	154834	144462	target_22224_direct_contact_deep13_padic_tangent_p11
24743	5784	106413	target_22224_direct_contact_deep13_padic_tangent_p11
24743	20425	33208	target_22224_direct_contact_deep13_padic_tangent_p11
24743	35066	121054	target_22224_direct_contact_deep13_padic_tangent_p11
24743	49707	47849	target_22224_direct_contact_deep13_padic_tangent_p11
