a	b	c	d	signs	primitive_a	primitive_b	primitive_c	primitive_d	rectangle	known_bank	local_contact	deep11	deep13
3465	4950	6678	9540	6	385	550	-742	-1060	1	0	0	0	0
3468	4182	6936	8364	6	34	41	-68	-82	1	0	0	0	0
3472	3503	3584	3616	6	3472	3503	-3584	-3616	1	0	0	0	0
3472	3968	5642	6448	6	56	64	-91	-104	1	0	0	0	0
3473	4117	6493	7697	6	3473	4117	-6493	-7697	1	0	0	0	0
3475	4031	5975	6931	6	3475	4031	-5975	-6931	1	0	0	0	0
3480	4320	7830	9720	6	116	144	-261	-324	1	0	0	0	0
3480	5220	5568	5800	6	30	45	-48	-50	0	0	0	0	0
3481	7504	7686	8174	6	3481	7504	-7686	-8174	0	0	0	0	0
3483	4257	7353	8987	6	81	99	-171	-209	1	0	0	0	0
3484	4316	7772	9628	6	871	1079	-1943	-2407	1	0	0	0	0
3486	4500	7470	9261	6	1162	1500	-2490	-3087	0	0	0	0	0
3488	3712	4360	4640	6	436	464	-545	-580	1	0	0	0	0
3490	4260	7329	8946	6	3490	4260	-7329	-8946	1	0	0	0	0
3492	3783	4656	5044	6	36	39	-48	-52	1	0	0	0	0
3496	3648	4071	4248	6	3496	3648	-4071	-4248	1	0	0	0	0
3496	3864	5016	5544	6	437	483	-627	-693	1	0	0	0	0
3498	4081	4356	5082	6	318	371	-396	-462	1	0	0	0	0
3502	3978	5562	6318	6	1751	1989	-2781	-3159	1	0	0	0	0
3502	4223	7004	8446	6	34	41	-68	-82	1	0	0	0	0
3504	4608	5183	6816	6	3504	4608	-5183	-6816	1	0	0	0	0
3504	6936	6984	7081	6	3504	6936	-6984	-7081	0	0	0	0	0
3510	4140	6435	7590	6	234	276	-429	-506	1	0	0	0	0
3510	4212	6885	8262	6	130	156	-255	-306	1	0	0	0	0
3510	4365	7956	9894	6	1170	1455	-2652	-3298	1	0	0	0	0
3510	4615	4860	6390	6	702	923	-972	-1278	1	0	0	0	0
