t_num	t_den	p	r	boundary	jorder	jmod3	allowed
1	2	79	75	0	5120	2	0
1	2	79	76	0	5632	1	0
1	2	79	77	0	4608	0	1
1	2	79	78	1	0	-1	1
1	2	79	inf	1	0	-1	1
1	2	83	0	1	0	-1	1
1	2	83	1	1	0	-1	1
1	2	83	2	0	9216	0	1
1	2	83	3	0	7680	0	1
1	2	83	4	0	8448	0	1
1	2	83	5	0	9216	0	1
1	2	83	6	0	9216	0	1
1	2	83	7	0	7680	0	1
1	2	83	8	0	6912	0	1
1	2	83	9	0	6912	0	1
1	2	83	10	0	7680	0	1
1	2	83	11	1	0	-1	1
1	2	83	12	0	7680	0	1
1	2	83	13	0	6912	0	1
1	2	83	14	0	9216	0	1
1	2	83	15	0	7680	0	1
1	2	83	16	0	8448	0	1
1	2	83	17	0	8448	0	1
1	2	83	18	0	8448	0	1
1	2	83	19	0	8448	0	1
1	2	83	20	0	6912	0	1
1	2	83	21	0	8448	0	1
1	2	83	22	0	6912	0	1
1	2	83	23	0	8448	0	1
1	2	83	24	0	6912	0	1
1	2	83	25	0	7680	0	1
1	2	83	26	0	8448	0	1
1	2	83	27	0	8448	0	1
1	2	83	28	0	7680	0	1
1	2	83	29	0	6912	0	1
1	2	83	30	0	8448	0	1
1	2	83	31	0	8448	0	1
1	2	83	32	0	6912	0	1
1	2	83	33	0	6912	0	1
1	2	83	34	0	6912	0	1
1	2	83	35	0	8448	0	1
1	2	83	36	0	8448	0	1
1	2	83	37	0	6912	0	1
1	2	83	38	0	7680	0	1
1	2	83	39	1	0	-1	1
1	2	83	40	0	8448	0	1
1	2	83	41	0	7680	0	1
1	2	83	42	0	9216	0	1
1	2	83	43	0	9216	0	1
1	2	83	44	0	8448	0	1
1	2	83	45	0	6912	0	1
1	2	83	46	0	9216	0	1
1	2	83	47	0	9216	0	1
1	2	83	48	0	7680	0	1
1	2	83	49	0	8448	0	1
1	2	83	50	0	9216	0	1
1	2	83	51	0	9216	0	1
1	2	83	52	0	6912	0	1
1	2	83	53	0	9216	0	1
1	2	83	54	0	6912	0	1
1	2	83	55	0	7680	0	1
1	2	83	56	0	9216	0	1
1	2	83	57	0	7680	0	1
1	2	83	58	0	6912	0	1
1	2	83	59	0	7680	0	1
1	2	83	60	0	8448	0	1
1	2	83	61	0	8448	0	1
1	2	83	62	0	7680	0	1
1	2	83	63	0	6912	0	1
1	2	83	64	0	7680	0	1
1	2	83	65	0	8448	0	1
1	2	83	66	1	0	-1	1
1	2	83	67	0	7680	0	1
1	2	83	68	1	0	-1	1
1	2	83	69	0	9216	0	1
1	2	83	70	0	9216	0	1
1	2	83	71	0	6912	0	1
1	2	83	72	0	7680	0	1
1	2	83	73	0	6912	0	1
1	2	83	74	0	9216	0	1
1	2	83	75	0	8448	0	1
1	2	83	76	0	6912	0	1
1	2	83	77	0	9216	0	1
1	2	83	78	0	6912	0	1
1	2	83	79	0	7680	0	1
1	2	83	80	0	7680	0	1
1	2	83	81	0	7680	0	1
1	2	83	82	1	0	-1	1
1	2	83	inf	1	0	-1	1
1	2	89	0	1	0	-1	1
1	2	89	1	1	0	-1	1
1	2	89	2	0	8320	1	0
1	2	89	3	0	7040	2	0
1	2	89	4	0	7680	0	1
1	2	89	5	0	7680	0	1
1	2	89	6	0	8320	1	0
1	2	89	7	0	6400	1	0
1	2	89	8	0	6400	1	0
1	2	89	9	0	7040	2	0
1	2	89	10	0	7040	2	0
1	2	89	11	0	7040	2	0
1	2	89	12	0	5760	0	1
1	2	89	13	0	7680	0	1
1	2	89	14	0	8320	1	0
1	2	89	15	0	8320	1	0
1	2	89	16	0	8320	1	0
1	2	89	17	0	7680	0	1
1	2	89	18	0	7680	0	1
1	2	89	19	0	7680	0	1
1	2	89	20	0	7680	0	1
1	2	89	21	0	7680	0	1
1	2	89	22	0	7680	0	1
1	2	89	23	0	6400	1	0
1	2	89	24	0	7680	0	1
1	2	89	25	0	7680	0	1
1	2	89	26	0	7680	0	1
1	2	89	27	0	7680	0	1
1	2	89	28	0	7680	0	1
1	2	89	29	0	7680	0	1
1	2	89	30	0	7040	2	0
1	2	89	31	0	6400	1	0
1	2	89	32	0	5760	0	1
1	2	89	33	0	7680	0	1
1	2	89	34	0	6400	1	0
1	2	89	35	0	7680	0	1
1	2	89	36	0	8320	1	0
1	2	89	37	0	7680	0	1
1	2	89	38	0	7040	2	0
1	2	89	39	0	8320	1	0
1	2	89	40	0	7680	0	1
1	2	89	41	0	7040	2	0
1	2	89	42	0	7680	0	1
1	2	89	43	0	7680	0	1
1	2	89	44	0	7040	2	0
1	2	89	45	0	8320	1	0
1	2	89	46	0	8320	1	0
1	2	89	47	0	8320	1	0
