m	n	k	torsion_coset
288	69	573	1
288	861	-507	1
290	-73	73	2
290	-73	-791	2
290	143	-719	2
291	-36	465	1
291	468	33	1
294	-93	-147	1
295	-824	-287	1
295	976	73	1
298	-377	-395	1
302	-925	625	2
302	-925	985	2
302	-925	-383	2
302	-421	481	2
302	-133	193	2
302	-133	985	2
302	83	-887	2
302	659	841	2
303	936	393	1
306	87	789	1
309	774	393	1
312	-75	789	1
321	-846	-975	1
321	-558	969	1
321	-342	33	1
321	234	-615	1
321	738	393	1
322	-233	-107	1
324	-399	-651	1
324	681	-291	1
326	-541	-935	2
326	-253	937	2
326	-37	505	2
326	539	-575	2
327	-720	-615	1
330	-273	213	1
331	4	-287	1
338	-889	49	2
338	-889	-239	2
338	-601	-815	2
338	-601	-95	2
338	191	121	2
338	191	409	2
338	479	265	2
338	479	-455	2
338	695	-527	2
338	983	-671	2
345	-198	-471	1
345	90	-687	1
345	882	-111	1
348	-759	-291	1
349	-194	-935	1
349	886	-575	1
357	-522	393	1
357	54	897	1
357	54	-759	1
357	270	969	1
357	558	753	1
362	-433	73	2
362	-217	-647	2
362	575	-935	2
362	575	-143	2
362	863	-287	2
366	51	-363	1
366	843	213	1
367	-968	73	1
367	112	433	1
374	-493	913	2
374	11	769	2
374	11	-743	2
375	-432	897	1
375	-432	-759	1
375	72	249	1
378	15	-435	1
381	-594	-183	1
381	-378	-111	1
381	702	249	1
393	-702	465	1
393	-414	-111	1
393	378	825	1
393	666	249	1
394	-89	325	1
394	991	685	1
396	-471	-795	1
398	-901	-647	2
398	-109	361	2
398	-109	-647	2
398	179	-287	2
398	395	-215	2
398	971	721	2
398	971	-287	2
399	-576	393	1
399	-288	-327	1
399	504	753	1
402	663	573	1
403	-572	505	1
406	667	-755	1
409	-734	505	1
410	-673	-239	2
410	-169	-527	2
410	911	-815	2
410	911	-167	2
411	-612	753	1
411	-396	825	1
411	396	-183	1
414	339	-867	1
417	18	249	1
417	234	321	1
417	234	-183	1
420	-615	213	1
420	-327	-3	1
420	465	573	1
429	-594	249	1
429	486	609	1
430	-269	-827	1
430	811	-467	1
434	-289	-575	2
434	-1	73	2
434	-1	361	2
434	-1	-431	2
434	215	-359	2
434	791	-215	2
435	-252	-183	1
435	828	177	1
438	483	69	1
442	-593	253	1
442	-305	-755	1
442	487	613	1
445	-914	-647	1
446	-853	769	2
446	-637	193	2
446	-637	985	2
446	-637	-815	2
446	-61	193	2
446	-61	625	2
446	-61	-167	2
446	443	553	2
446	443	-455	2
447	0	105	1
447	792	-975	1
450	-633	573	1
450	447	933	1
453	-162	105	1
453	-162	609	1
453	846	33	1
453	846	-831	1
457	562	-287	1
463	-392	-575	1
463	400	793	1
463	688	-215	1
465	-270	-327	1
465	18	177	1
465	522	609	1
465	810	33	1
468	-39	-507	1
468	753	-651	1
470	-973	721	2
470	35	145	2
470	323	-863	2
471	-144	-399	1
471	936	-39	1
474	-201	429	1
481	-878	-215	1
481	-86	-647	1
481	202	145	1
481	994	-287	1
482	-817	409	2
482	-817	913	2
482	-25	625	2
482	263	769	2
482	263	-887	2
482	767	625	2
483	-972	609	1
483	-180	465	1
483	828	105	1
489	-630	-903	1
489	450	-543	1
489	666	-471	1
492	-183	-75	1
492	897	285	1
