u_num	u_den	t_num	t_den	w_num	w_den
35852	32653	-43095	133984	210488	81357
-18559	126285	-153729	136672	119408	19379
-182257	60176	220545	260006	-207313	99458
163925	120546	60605	55164	-225419	161268
69551	73091	187340	142787	-122706	101089
181788	190031	44954	244437	-146263	165480
107389	241784	198237	241	-198016	124433
114562	202359	158389	193465	-84083	63846
214013	205460	-15283	62273	90542	29347
-230446	183197	-3887	110288	-151066	121835
188602	200087	-1767	115696	199526	252999
249767	5399	254541	124679	-119854	188999
100708	117379	-151931	12032	17855	234144
-90719	229794	163423	24169	-52567	137728
176819	92912	-237664	31049	110423	100077
111897	54289	-10488	256387	-17126	257333
-189649	182415	248768	167081	-9830	137349
131009	216917	185587	96489	-238541	95376
-131045	39561	-185945	151263	-75842	9589
25822	103219	78648	26173	-47071	241237
82714	236935	239134	126391	129828	217273
106408	36359	-112723	254398	-4507	224892
-19243	112078	-61132	182709	189968	253145
158176	179871	-215441	150118	-156214	26931
151438	167929	-210743	105720	-123943	198655
-259889	258260	130758	221263	-101807	7207
-105883	77191	258819	25552	-68413	153358
110389	10721	155987	96852	253504	101691
-139643	115694	-193591	167498	-117077	71594
-22156	133049	190463	215568	-233289	160376
13203	141788	-228114	120041	56819	86126
-208733	127385	69966	186161	51630	259661
51187	213326	-93119	105448	-85649	200639
-9443	54185	28101	31891	-222775	95391
72137	75380	-260338	106581	166829	64468
200903	192112	-33235	153727	-195178	63959
-113049	121841	-221559	103669	-210198	12781
81007	231262	21025	242278	142807	26890
-144239	61667	1517	75477	165491	221797
67048	26145	24157	7643	-10353	73427
32285	4122	103037	178962	107591	161222
-59659	165727	145445	243786	-248345	215179
26184	258787	-239989	200314	-51782	233601
-15311	131987	-83317	77884	117541	222713
-95049	138793	-112723	237194	-200061	37151
-504	217081	158498	217157	94879	121500
13205	164014	111758	108835	-131423	61056
31047	62030	62031	160258	-185498	185715
-47673	236971	20677	233713	-152371	34797
19031	107450	240149	5884	136107	35600
-87149	161679	136721	42148	42019	156410
-99654	115199	151931	240554	48350	92879
-62542	67747	-259182	79855	159205	81446
137866	211879	-37145	71309	-205453	1220
-166268	168281	26657	102490	-166093	177994
-162332	146219	90117	143452	73984	244081
-240122	52927	-96330	82507	51129	51143
165401	226131	-93902	174043	-203829	200870
-35792	211525	-104611	30630	191677	217688
66981	96721	74698	4527	229182	201217
133752	116003	-134504	160141	201293	66668
146169	214961	-258633	79279	47714	211379
-61073	126992	151931	106200	-222227	29364
-11963	112291	-119306	253309	-210230	198739
-110574	260027	213807	104105	-258453	192880
79123	223765	-183458	98551	-183271	181674
65710	132263	-215441	155794	-242093	187808
186298	47317	-85609	44762	-168314	15799
-234603	187793	-171245	171329	-21841	246717
-63033	65863	85405	79502	-152374	216967
-255753	187805	-198237	35665	67939	66558
215035	158421	206907	137078	-105995	116731
99434	121835	-248768	111957	69655	63044
46887	87784	-183396	36935	-86101	28098
-183556	50697	-201955	18087	47062	20905
-75949	234772	-63767	217618	-255373	438
-45627	118831	-127534	131377	-196307	145835
-166582	106247	-86773	70806	-33111	124595
-150653	239556	195362	92971	-70753	102367
-165317	193107	229364	81347	162438	256837
-253115	149354	230299	7407	15001	103568
-204436	49975	-109174	97333	-139077	120841
253947	157171	54587	94405	-175459	248114
-193585	44771	234175	240077	5193	182258
-96502	19077	-120441	175718	-108391	120480
239145	101987	-112723	103973	178670	193561
-74182	183321	173452	256369	-23132	176395
-142129	8399	-67456	126557	-109555	226496
-38823	96403	-242535	121322	-83188	130565
-6675	55007	-244205	80946	217634	49463
-245166	100007	-227012	171201	251575	150134
-232064	219235	-249951	239810	-121607	118319
-156053	94304	56753	86964	-47735	58724
260449	190538	63189	261088	-141312	104135
-77303	106924	198237	233705	90275	86561
102085	62666	97175	51176	-107147	194836
177748	228493	112723	27158	-41187	158801
172718	176107	-104673	231653	184664	48681
-51409	194671	199082	186195	29149	192160
-179725	254477	-104842	135823	-230737	106839
-175192	150255	178126	112755	-20245	144178
-19651	99111	71831	193450	-227991	67876
-146324	114635	-112723	17933	219629	215854
-231530	147657	131869	205771	98893	175495
-58030	223087	151931	230705	-62899	116447
-97189	27310	-122815	136768	20224	229731
220112	26805	151931	103908	195803	39573
-204381	74174	-112723	142165	977	14879
-209090	135027	158117	168943	122613	234875
35775	224629	-66309	39283	181724	64731
172318	161087	-252890	56443	15093	111905
56635	192807	-155142	199099	51283	47948
-237119	119803	120497	238022	-45766	17133
142777	254212	57460	192453	43917	185114
219170	223009	6293	202133	-237708	38705
169885	103179	97701	81083	20747	7108
-68196	200729	89148	54871	-168687	45685
-121137	58090	223706	230675	29148	25811
244879	52524	-108779	203404	194317	73572
-54547	55820	-33837	155953	-23795	260427
217442	130189	164013	252884	-46023	161545
-66919	49451	-121916	105991	-259	24793
153823	26203	144305	218182	-133829	247417
-132205	89662	-83317	16474	-143695	218451
126875	187839	-66691	152500	-244309	196800
-190360	189581	-80707	63673	1477	219425
102833	123897	118864	260825	78982	196139
-211043	111985	194833	111754	-68679	128819
-32811	261034	149058	184403	245515	231864
-37773	133123	91705	25471	187788	173731
127749	233900	213605	107021	-97541	168942
-64781	78212	-80707	215045	139030	54793
38631	9611	199082	15255	182322	245281
-172357	147010	165240	29041	-30974	6411
215483	31199	-114920	226211	-87163	216979
167009	194171	-252586	225871	49873	96119
-241501	10325	115976	147933	-96038	202395
-110895	169129	254852	167885	-190153	223253
54779	106151	170085	53399	194801	227913
257759	72940	-35960	56337	-229745	21306
-195281	66106	237107	41227	120734	47457
-98387	223963	-38657	193485	194708	92999
176986	34319	65569	61821	27479	203664
-82975	136922	151931	224050	123958	199739
-30031	195357	-63713	132732	-163155	115448
-162427	167719	-197539	24437	37227	50326
-194906	113397	44965	187303	120179	235902
132327	206693	88162	90745	196652	211683
-143959	30351	-200941	258288	221435	193181
-203749	158150	7657	248264	21723	189775
124281	95782	193116	1699	-147223	175948
71856	142127	-10991	100654	-204698	37721
209720	227519	151931	182503	-83774	24457
74964	159875	-7268	155809	-149858	72051
-6774	66865	-80275	108189	-115504	227189
-120517	125357	-148580	36141	69673	150500
-206673	143557	-100681	87721	-24071	258195
-120090	64939	-132733	258333	256473	219152
-194823	170674	-57545	174384	-190324	138373
26702	250339	40528	54965	-91635	152407
-77923	89198	29450	36019	126836	74229
246740	29413	131974	137809	-182895	142072
176107	190042	-56559	239782	203701	85955
198529	259702	109763	18184	65201	224528
-136473	169687	-177191	134294	25951	7445
176262	246811	192386	260581	-231797	174979
-197143	221295	-225301	100846	176076	45343
6825	256948	170430	137297	61087	179623
131591	113008	24012	183713	24392	197819
-208770	137567	-93119	249928	-140498	194963
-97205	56701	-260015	63474	-14448	241265
-39622	49747	-110671	83364	157069	223804
-48848	208217	-83317	178768	179951	175932
176980	169179	249951	35798	181250	115341
-156977	215772	251464	16723	-144549	246349
-166291	171967	-251750	119061	-202264	90021
-169940	30791	-66079	179532	-165271	259627
-19520	24501	198237	190594	220133	92630
94821	114805	94829	99474	-243422	167397
-9916	216267	-112723	220122	45131	226844
183657	121993	120441	38210	-164024	182823
89711	249292	-95856	218129	-125965	39093
97261	198052	42389	185019	-9348	128489
62991	233041	191284	148215	-77783	103594
20462	66655	121771	34120	111527	159931
-186403	94125	181133	233373	181823	535
166301	115740	-7943	185583	-1234	215239
180423	220702	-55955	142473	155886	10069
-227847	173401	54660	48031	-129743	53336
633	56272	54577	33736	-184517	223875
-257622	74695	-66079	92855	-114469	64540
-61421	82817	-171941	256779	85333	156678
-6587	134646	187897	192719	-63020	175759
50265	241994	103849	5999	-156136	170529
205358	219815	-215441	139131	169010	41087
242368	54231	74902	220873	-205717	66636
120917	183693	132158	74743	36491	114440
190521	47635	-16182	213073	-88877	72894
209213	94790	136735	111433	162689	131446
222911	65515	89528	134037	-194615	154498
-9411	235489	147706	248293	-89558	10477
15570	120179	93119	261011	-75697	25801
-185247	56713	-229245	158017	-89489	66634
-163936	250417	-19435	220612	72546	45451
87449	144487	230299	3227	109261	70777
-148749	167663	-221559	117880	53291	128055
-54875	118878	176436	25583	125309	117736
-180429	158062	-135031	110795	-58595	59694
-7800	200069	148180	91687	-252083	84862
-200696	70247	-147706	64863	44150	110553
-203778	62779	-152233	199724	-221721	16670
155983	12592	158631	137273	160349	227209
138742	60721	-40898	14435	-173095	9924
63760	203061	-214073	58917	206430	130159
177839	109547	-214461	155297	41509	66474
-207812	167163	-221221	126816	-166001	57481
-180179	112753	-243629	237448	-154610	203461
141445	110626	165106	61327	37541	234027
-243772	203013	-198645	1307	-50575	119039
-50235	56359	-90605	202803	100264	14323
20864	228087	-161851	235459	122126	210525
-68106	48527	-118237	127616	-162137	72693
-210179	151804	219356	182713	-239483	242355
-30161	256248	13685	31524	-32765	151499
55611	220700	156663	65701	-200381	69899
-254962	34467	151931	7691	-119022	33359
92263	24020	-117566	41381	-209771	86285
-79691	180832	13340	37627	107345	250652
51195	34994	7650	8803	99761	149367
259390	8471	-60333	130115	-140073	136886
159267	92228	-227981	57335	241331	62818
31608	117497	-189244	177085	-124698	25747
-210697	152715	135831	228727	-41290	235187
168590	206449	198237	153053	-82350	256337
93769	124590	-232674	152255	-9035	97332
17657	216500	260429	228165	-154346	168851
245293	259878	-15181	220270	-124559	10954
129225	193547	86507	221292	136247	129722
-102187	32332	-136952	240917	-129617	160685
232764	31111	-112217	225294	166175	78664
-186151	16531	-46903	141293	108067	85586
158446	255583	120497	118585	-27017	256067
259571	112817	175305	126182	-80353	83730
-148074	47185	-183563	181635	172753	178621
45211	78604	79083	114904	-5353	49175
5347	235475	-54587	80528	62781	27175
-82655	141754	234821	92799	153281	183671
-97456	83799	26533	184607	-220731	111886
189171	10033	229245	139439	-78439	203784
5946	176777	-198476	261047	-213487	155880
94461	259816	-240994	79839	111147	5297
-20019	26986	-22591	214306	-113332	200947
-5804	117399	-109089	97607	114162	40829
