m	n	torsion_coset
65058003	0	2
65303703	0	2
65784183	0	2
66259203	0	2
66625023	0	2
66985383	0	2
67039983	0	2
67280223	0	2
67585983	0	2
68006403	0	2
68181123	0	2
68481423	0	2
68727123	0	2
68907303	0	2
69142083	0	2
69207603	0	2
69562503	0	2
69682623	0	2
70283223	0	2
70408803	0	2
70763703	0	2
71189583	0	2
71429823	0	2
71844783	0	2
71964903	0	2
72330723	0	2
72565503	0	2
72631023	0	2
72745683	0	2
72985923	0	2
73045983	0	2
73291683	0	2
73712103	0	2
73832223	0	2
73886823	0	2
74187123	0	2
74247183	0	2
74432823	0	2
74847783	0	2
74913303	0	2
75388323	0	2
75994383	0	2
76114503	0	2
76169103	0	2
76715103	0	2
76895283	0	2
77135523	0	2
77195583	0	2
77550483	0	2
78036423	0	2
78271203	0	2
78336723	0	2
78396783	0	2
78451383	0	2
78691623	0	2
78751683	0	2
78997383	0	2
79537923	0	2
79892823	0	2
79952883	0	2
80318703	0	2
80973903	0	2
81094023	0	2
81694623	0	2
81700083	0	2
81874803	0	2
82175103	0	2
82420803	0	2
82600983	0	2
82841223	0	2
82901283	0	2
83256183	0	2
83376303	0	2
83976903	0	2
84042423	0	2
84102483	0	2
84457383	0	2
85123503	0	2
85243623	0	2
85298223	0	2
85658583	0	2
85844223	0	2
86024403	0	2
86259183	0	2
86324703	0	2
86679603	0	2
87400323	0	2
87405783	0	2
87525903	0	2
87580503	0	2
87880803	0	2
88126503	0	2
88606983	0	2
89082003	0	2
89447823	0	2
89808183	0	2
89862783	0	2
90103023	0	2
90408783	0	2
90829203	0	2
91003923	0	2
91304223	0	2
91549923	0	2
91730103	0	2
91964883	0	2
92030403	0	2
92385303	0	2
92505423	0	2
93106023	0	2
93231603	0	2
93586503	0	2
94012383	0	2
94252623	0	2
94667583	0	2
94787703	0	2
95153523	0	2
95388303	0	2
95453823	0	2
95568483	0	2
95808723	0	2
95868783	0	2
96114483	0	2
96534903	0	2
96655023	0	2
96709623	0	2
97009923	0	2
97069983	0	2
97255623	0	2
97670583	0	2
97736103	0	2
98211123	0	2
98817183	0	2
98937303	0	2
98991903	0	2
99537903	0	2
99718083	0	2
99958323	0	2
-99765117	0	2
-99279177	0	2
-99044397	0	2
-98978877	0	2
-98918817	0	2
-98864217	0	2
-98623977	0	2
-98563917	0	2
-98318217	0	2
-97777677	0	2
-97422777	0	2
-97362717	0	2
-96996897	0	2
-96341697	0	2
-96221577	0	2
-95620977	0	2
-95615517	0	2
-95440797	0	2
-95140497	0	2
-94894797	0	2
-94714617	0	2
-94474377	0	2
-94414317	0	2
-94059417	0	2
-93939297	0	2
-93338697	0	2
-93273177	0	2
-93213117	0	2
-92858217	0	2
-92192097	0	2
-92071977	0	2
-92017377	0	2
-91657017	0	2
-91471377	0	2
-91291197	0	2
-91056417	0	2
-90990897	0	2
-90635997	0	2
-89915277	0	2
-89909817	0	2
-89789697	0	2
-89735097	0	2
-89434797	0	2
-89189097	0	2
-88708617	0	2
-88233597	0	2
-87867777	0	2
-87507417	0	2
-87452817	0	2
-87212577	0	2
-86906817	0	2
-86486397	0	2
-86311677	0	2
