u	t	w	center	a	b	c	d	y0	y1	y2	y3
137489	23353	88814	672	50	528	160325	160160	130680	128180	148104	74294
137489	37994	88814	673	50	528	160325	160160	130680	128180	148104	74294
137489	52635	88814	674	50	528	160325	160160	130680	128180	148104	74294
137489	67276	88814	675	50	528	160325	160160	130680	128180	148104	74294
137489	81917	88814	676	50	528	160325	160160	130680	128180	148104	74294
137489	96558	88814	677	50	528	160325	160160	130680	128180	148104	74294
137489	111199	88814	678	50	528	160325	160160	130680	128180	148104	74294
137489	125840	88814	679	50	528	160325	160160	130680	128180	148104	74294
137489	140481	88814	680	50	528	160325	160160	130680	128180	148104	74294
137489	155122	88814	681	50	528	160325	160160	130680	128180	148104	74294
137489	10043	88814	682	50	528	160325	160160	130680	128180	148104	74294
137489	24684	88814	683	50	528	160325	160160	130680	128180	148104	74294
137489	39325	88814	684	50	528	160325	160160	130680	128180	148104	74294
137489	53966	88814	685	50	528	160325	160160	130680	128180	148104	74294
137489	68607	88814	686	50	528	160325	160160	130680	128180	148104	74294
137489	83248	88814	687	50	528	160325	160160	130680	128180	148104	74294
137489	97889	88814	688	50	528	160325	160160	130680	128180	148104	74294
137489	112530	88814	689	50	528	160325	160160	130680	128180	148104	74294
137489	127171	88814	690	50	528	160325	160160	130680	128180	148104	74294
137489	141812	88814	691	50	528	160325	160160	130680	128180	148104	74294
137489	156453	88814	692	50	528	160325	160160	130680	128180	148104	74294
137489	11374	88814	693	50	528	160325	160160	130680	128180	148104	74294
137489	26015	88814	694	50	528	160325	160160	130680	128180	148104	74294
137489	40656	88814	695	50	528	160325	160160	130680	128180	148104	74294
137489	55297	88814	696	50	528	160325	160160	130680	128180	148104	74294
137489	69938	88814	697	50	528	160325	160160	130680	128180	148104	74294
137489	84579	88814	698	50	528	160325	160160	130680	128180	148104	74294
137489	99220	88814	699	50	528	160325	160160	130680	128180	148104	74294
137489	113861	88814	700	50	528	160325	160160	130680	128180	148104	74294
137489	128502	88814	701	50	528	160325	160160	130680	128180	148104	74294
137489	143143	88814	702	50	528	160325	160160	130680	128180	148104	74294
137489	157784	88814	703	50	528	160325	160160	130680	128180	148104	74294
137489	12705	88814	704	50	528	160325	160160	130680	128180	148104	74294
137489	27346	88814	705	50	528	160325	160160	130680	128180	148104	74294
137489	41987	88814	706	50	528	160325	160160	130680	128180	148104	74294
137489	56628	88814	707	50	528	160325	160160	130680	128180	148104	74294
137489	71269	88814	708	50	528	160325	160160	130680	128180	148104	74294
137489	85910	88814	709	50	528	160325	160160	130680	128180	148104	74294
137489	100551	88814	710	50	528	160325	160160	130680	128180	148104	74294
137489	115192	88814	711	50	528	160325	160160	130680	128180	148104	74294
137489	129833	88814	712	50	528	160325	160160	130680	128180	148104	74294
137489	144474	88814	713	50	528	160325	160160	130680	128180	148104	74294
137489	159115	88814	714	50	528	160325	160160	130680	128180	148104	74294
137489	14036	88814	715	50	528	160325	160160	130680	128180	148104	74294
137489	28677	88814	716	50	528	160325	160160	130680	128180	148104	74294
137489	43318	88814	717	50	528	160325	160160	130680	128180	148104	74294
137489	57959	88814	718	50	528	160325	160160	130680	128180	148104	74294
137489	72600	88814	719	50	528	160325	160160	130680	128180	148104	74294
137489	87241	88814	720	50	528	160325	160160	130680	128180	148104	74294
137489	101882	88814	721	50	528	160325	160160	130680	128180	148104	74294
137489	116523	88814	722	50	528	160325	160160	130680	128180	148104	74294
137489	131164	88814	723	50	528	160325	160160	130680	128180	148104	74294
137489	145805	88814	724	50	528	160325	160160	130680	128180	148104	74294
137489	160446	88814	725	50	528	160325	160160	130680	128180	148104	74294
35002	847	88814	726	50	528	160325	160160	130680	128180	148104	74294
35002	15488	88814	727	50	528	160325	160160	130680	128180	148104	74294
35002	30129	88814	728	50	528	160325	160160	130680	128180	148104	74294
35002	44770	88814	729	50	528	160325	160160	130680	128180	148104	74294
35002	59411	88814	730	50	528	160325	160160	130680	128180	148104	74294
35002	74052	88814	731	50	528	160325	160160	130680	128180	148104	74294
35002	88693	88814	732	50	528	160325	160160	130680	128180	148104	74294
35002	103334	88814	733	50	528	160325	160160	130680	128180	148104	74294
35002	117975	88814	734	50	528	160325	160160	130680	128180	148104	74294
35002	132616	88814	735	50	528	160325	160160	130680	128180	148104	74294
35002	147257	88814	736	50	528	160325	160160	130680	128180	148104	74294
35002	2178	88814	737	50	528	160325	160160	130680	128180	148104	74294
35002	16819	88814	738	50	528	160325	160160	130680	128180	148104	74294
35002	31460	88814	739	50	528	160325	160160	130680	128180	148104	74294
35002	46101	88814	740	50	528	160325	160160	130680	128180	148104	74294
35002	60742	88814	741	50	528	160325	160160	130680	128180	148104	74294
35002	75383	88814	742	50	528	160325	160160	130680	128180	148104	74294
35002	90024	88814	743	50	528	160325	160160	130680	128180	148104	74294
35002	104665	88814	744	50	528	160325	160160	130680	128180	148104	74294
35002	119306	88814	745	50	528	160325	160160	130680	128180	148104	74294
35002	133947	88814	746	50	528	160325	160160	130680	128180	148104	74294
35002	148588	88814	747	50	528	160325	160160	130680	128180	148104	74294
35002	3509	88814	748	50	528	160325	160160	130680	128180	148104	74294
35002	18150	88814	749	50	528	160325	160160	130680	128180	148104	74294
35002	32791	88814	750	50	528	160325	160160	130680	128180	148104	74294
35002	47432	88814	751	50	528	160325	160160	130680	128180	148104	74294
35002	62073	88814	752	50	528	160325	160160	130680	128180	148104	74294
35002	76714	88814	753	50	528	160325	160160	130680	128180	148104	74294
35002	91355	88814	754	50	528	160325	160160	130680	128180	148104	74294
35002	105996	88814	755	50	528	160325	160160	130680	128180	148104	74294
35002	120637	88814	756	50	528	160325	160160	130680	128180	148104	74294
35002	135278	88814	757	50	528	160325	160160	130680	128180	148104	74294
35002	149919	88814	758	50	528	160325	160160	130680	128180	148104	74294
35002	4840	88814	759	50	528	160325	160160	130680	128180	148104	74294
35002	19481	88814	760	50	528	160325	160160	130680	128180	148104	74294
35002	34122	88814	761	50	528	160325	160160	130680	128180	148104	74294
35002	48763	88814	762	50	528	160325	160160	130680	128180	148104	74294
35002	63404	88814	763	50	528	160325	160160	130680	128180	148104	74294
35002	78045	88814	764	50	528	160325	160160	130680	128180	148104	74294
35002	92686	88814	765	50	528	160325	160160	130680	128180	148104	74294
35002	107327	88814	766	50	528	160325	160160	130680	128180	148104	74294
35002	121968	88814	767	50	528	160325	160160	130680	128180	148104	74294
35002	136609	88814	768	50	528	160325	160160	130680	128180	148104	74294
35002	151250	88814	769	50	528	160325	160160	130680	128180	148104	74294
