2.0.103.1-784.14-a4|-103|1,1,1,0,1,1,-5,0,28,-3|2,4|0
2.0.103.1-784.2-a3|-103|0,1,-1,-1,0,0,-4,0,30,3|2,4|0
2.0.103.1-900.2-a2|-103|1,0,0,0,1,0,1,0,2,0|6|1
2.0.103.1-900.2-a4|-103|1,0,0,0,1,0,-69,0,-194,0|6|1
2.0.103.1-900.2-a5|-103|1,0,0,0,1,0,-19,0,26,0|2,6|1
2.0.103.1-900.2-a7|-103|1,0,0,0,1,0,-289,0,1862,0|6|1
2.0.103.1-952.10-b1|-103|1,1,0,-1,1,1,-1,-1,0,0|6|0
2.0.103.1-952.10-b3|-103|1,1,0,-1,1,1,-11,-6,38,35|6|0
2.0.103.1-952.7-b1|-103|0,1,0,0,0,1,0,-1,1,-1|6|0
2.0.103.1-952.7-b3|-103|0,1,0,0,0,1,-15,4,74,-36|6|0
2.0.104.1-100.2-a2|-104|0,0,1,0,0,0,4,0,4,0|6|1
2.0.104.1-100.2-a3|-104|0,0,1,0,0,0,-1,0,0,0|6|1
2.0.104.1-121.1-f2|-104|0,0,-1,0,1,0,-10,0,-20,0|5|1
2.0.104.1-121.1-f3|-104|0,0,-1,0,1,0,0,0,0,0|5|1
2.0.104.1-144.2-b1|-104|0,0,1,0,0,0,16,0,180,0|8|1
2.0.104.1-144.2-b4|-104|0,0,1,0,0,0,-24,0,36,0|2,4|1
2.0.104.1-225.5-b3|-104|1,0,1,0,1,0,35,0,-28,0|8|1
2.0.104.1-225.5-b4|-104|1,0,1,0,1,0,-10,0,-10,0|2,4|1
2.0.104.1-225.5-b5|-104|1,0,1,0,1,0,-5,0,2,0|2,4|1
2.0.104.1-26.1-b2|-104|1,0,-1,0,1,0,-3,0,3,0|7|1
2.0.104.1-324.3-b2|-104|0,0,0,0,0,0,0,0,1,0|6|1
2.0.104.1-324.3-b3|-104|0,0,0,0,0,0,-15,0,22,0|6|1
2.0.104.1-441.5-b3|-104|1,0,0,0,0,0,-4,0,-1,0|2,4|1
2.0.104.1-441.5-b4|-104|1,0,0,0,0,0,-39,0,90,0|8|1
2.0.104.1-450.5-b2|-104|1,0,0,0,1,0,1,0,2,0|6|1
2.0.104.1-450.5-b4|-104|1,0,0,0,1,0,-69,0,-194,0|6|1
2.0.104.1-450.5-b5|-104|1,0,0,0,1,0,-19,0,26,0|2,6|1
2.0.104.1-450.5-b7|-104|1,0,0,0,1,0,-289,0,1862,0|6|1
2.0.104.1-468.2-c1|-104|0,0,1,0,0,0,-13,0,-4,0|6|1
2.0.104.1-468.2-c3|-104|0,0,1,0,0,0,-148,0,644,0|6|1
2.0.104.1-578.2-b1|-104|1,0,0,0,0,0,-3,0,1,0|6|1
2.0.104.1-578.2-b3|-104|1,0,0,0,0,0,-43,0,105,0|6|1
2.0.104.1-650.2-f1|-104|1,0,0,0,1,0,-13,0,156,0|6|1
2.0.104.1-650.2-f4|-104|1,0,0,0,1,0,-33,0,68,0|6|1
2.0.104.1-675.5-a2|-104|0,1,-1,0,1,0,-615,-62,-4053,-779|6|0
2.0.104.1-675.5-a4|-104|0,1,1,-1,1,0,615,-8,-8144,1900|6|0
2.0.104.1-675.8-a1|-104|0,1,-1,0,1,0,-615,61,-4053,779|6|0
2.0.104.1-675.8-a3|-104|0,1,1,1,1,0,615,7,-8144,-1900|6|0
2.0.104.1-72.2-b3|-104|0,0,-1,0,0,0,-4,0,4,0|2,4|1
2.0.104.1-722.1-b2|-104|1,0,1,0,1,0,0,0,1,0|5|1
2.0.104.1-756.3-b3|-104|0,1,1,-1,0,0,1151,92,-80101,15211|6|0
2.0.104.1-756.3-b4|-104|0,0,-1,-1,0,0,2845,64,-11558,10285|6|0
2.0.104.1-756.4-b1|-104|0,0,-1,-1,0,0,-3610,-286,-79390,-8702|6|0
2.0.104.1-756.4-b2|-104|0,0,-1,-1,0,0,-235,-16,-1252,-89|6|0
2.0.104.1-756.5-b1|-104|0,0,-1,1,0,0,-3610,286,-79390,8702|6|0
2.0.104.1-756.5-b2|-104|0,0,-1,1,0,0,-235,16,-1252,89|6|0
2.0.104.1-756.6-b3|-104|0,1,1,1,0,0,1151,-92,-80101,-15211|6|0
2.0.104.1-756.6-b4|-104|0,0,-1,1,0,0,2845,-64,-11558,-10285|6|0
2.0.104.1-882.5-b1|-104|1,0,1,0,1,0,-4,0,5,0|8|1
2.0.104.1-882.5-b5|-104|1,0,1,0,1,0,-84,0,261,0|2,4|1
